Date,market_cap,block_difficulty,hash_rate,btc_price,transaction_count
2013-07-01,1043538415.9655143,20037798.702159215,162.8598857823293,91.97981637839193,41551.857142857145
2013-07-08,852339972.4877946,21335329.11398303,189.84470835784398,74.93286417233033,35608.71428571428
2013-07-15,998515772.2131983,24794186.655432127,210.21499158449828,87.53297968865324,40125.42857142857
2013-07-22,996987521.5557394,26330473.2857886,229.90227292239229,87.1767355245888,37943.0
2013-07-29,1031086197.2412779,31256960.7277689,252.38020601780212,89.92695439592555,39327.57142857143
2013-08-05,1111481415.5534575,33448319.80230666,306.96820839603527,96.67512098188196,47563.0
2013-08-12,1094510921.606623,37392766.1364746,376.5406803345323,94.92382829590046,51233.57142857143
2013-08-19,1147924356.2033286,49291566.15818202,437.21869261876947,99.26717320447521,59623.0
2013-08-26,1270032113.225188,55895208.99359467,509.41303375500286,109.51513663688742,56694.142857142855
2013-09-02,1442508377.60701,65750060.14908467,653.6906436350731,124.03970652083171,56103.28571428572
2013-09-09,1417929882.8428996,83257096.99189755,722.4250212608925,121.58213175252557,54510.28571428572
2013-09-16,1468830730.9462802,94392467.43472824,902.6228047177889,125.5888267641313,49779.42857142857
2013-09-23,1458292737.417357,112628548.666347,1068.5701168080739,124.34322196710357,59046.42857142857
2013-09-30,1476452540.5345528,140486816.87994415,1253.1980652133414,125.52827139517413,50059.142857142855
2013-10-07,1413528046.591604,156942854.5261303,1458.226753588757,119.85169950738914,51965.28571428572
2013-10-14,1521010059.5210621,189281249.28103313,1884.5327366436857,128.60944508265828,51447.57142857143
2013-10-21,1845030853.8511791,249959922.90618914,2566.3050025072744,155.50400475077257,53902.71428571428
2013-10-28,2287867906.597581,318499465.75536,3211.23020251065,192.24085747766557,54655.71428571428
2013-11-04,2476528983.030896,390928787.6380857,3783.916874857473,207.50126231195628,45910.0
2013-11-11,3644627464.563866,497333571.2245489,3949.779930510067,304.57623291575516,56432.71428571428
2013-11-18,5404260245.388038,529928807.45541745,4704.623177229797,450.45265823870744,62016.42857142857
2013-11-25,8802616454.211252,609482679.888353,5012.080141632835,731.9434682920099,74164.42857142857
2013-12-02,12296056120.599657,655413103.1721402,5665.762515298916,1019.9587284144599,84377.85714285714
2013-12-09,11091390528.1046,707408283.0514978,6606.082183238738,917.706822250063,69847.42857142857
2013-12-16,10386991714.26277,890110539.0106575,8018.199741800396,857.131746868331,61300.42857142857
2013-12-23,7576967604.8561325,1010172470.3497492,9280.72150378665,623.4947148897888,63671.42857142857
2013-12-30,8667904375.174463,1180923195.25803,9946.136627359714,711.4839487916839,52686.57142857143
2014-01-06,9979350013.976177,1350101103.1504328,11468.630341118023,817.0984852746263,55045.57142857143
2014-01-13,10261639399.128992,1464590132.9644227,13986.31472271677,838.0427989388255,56642.142857142855
2014-01-20,10070423166.016104,1789546951.0532415,15516.967118938928,820.3092837904129,56498.42857142857
2014-01-27,9839236478.366913,1986043920.8150144,17068.647190048116,799.4804694827586,62520.71428571428
2014-02-03,9906559806.631834,2193847870.174276,19038.1959863804,802.9972504889707,58807.42857142857
2014-02-10,9028270331.83028,2540328672.4655175,20774.802189605343,730.0340620968105,66310.57142857143
2014-02-17,7998440527.15127,2695116839.0343027,23802.721646541573,645.1906383823997,64463.71428571428
2014-02-24,7375705274.66786,3129573174.522283,27358.434473379457,593.4826261815891,66732.42857142857
2014-03-03,7227005655.413256,3470753042.9549403,27998.265680546516,580.0775148678506,70862.42857142857
2014-03-10,8088362702.232477,3815723798.8146286,30890.85015903536,647.7982321048067,70711.57142857143
2014-03-17,7926011151.520524,4123394679.949617,33367.19800863433,633.3241589284629,68523.28571428571
2014-03-24,7328783634.330396,4255967484.226176,37510.56603982482,584.2578528301744,66665.57142857143
2014-03-31,6374332798.31626,5006860589.205409,41173.912498510166,506.954155276622,64738.42857142857
2014-04-07,5737498955.922885,5408496258.350471,47187.47633327189,455.1635809632043,62168.28571428572
2014-04-14,5389666033.395482,6119726089.128168,50412.47876886376,426.60589410731046,61859.42857142857
2014-04-21,6404165223.302159,6644055891.879792,55550.84678857317,505.7088601921495,60883.71428571428
2014-04-28,5964206080.950439,6978842649.592394,56696.66448388748,469.90547556423144,66212.14285714286
2014-05-05,5664359768.997384,7865967659.06977,59250.7101803455,445.2874699985273,60158.0
2014-05-12,5650645813.275767,8055827073.95929,67777.26650961935,443.22330311906126,66470.57142857143
2014-05-19,5701046218.747508,8853416309.127775,74000.63183873001,446.1639258161477,63421.71428571428
2014-05-26,6807787597.900156,9427154043.94396,77574.89521161035,531.5192036403107,66119.0
2014-06-02,7821998301.936998,10455720138.4849,83755.07438068611,609.3980510961844,63348.71428571428
2014-06-09,8436797123.765299,11223504308.454056,87051.41017705099,655.8383869917342,60112.28571428572
2014-06-16,7785321394.80395,11756551916.904001,100520.47490109417,603.8996141354263,61664.142857142855
2014-06-23,7727815322.036698,13184926339.14397,115766.481692584,597.9920116473241,59109.0
2014-06-30,7694738939.938698,14238188703.411173,121520.79531880586,593.9678529681889,60947.142857142855
2014-07-07,8269430765.539133,16818461371.1611,121705.02917953314,637.0428331219837,60617.42857142857
2014-07-14,8146292151.389801,16971132178.058584,129276.20771443871,626.263974035735,61423.57142857143
2014-07-21,8135890212.117876,17336316978.5078,139610.46460458855,624.1461815563164,63132.857142857145
2014-07-28,7870400576.026245,17957231121.698017,131443.890438644,602.54647106955,62026.857142857145
2014-08-04,7646997755.808672,18736441558.310215,143301.5522884547,584.2326676129248,63012.0
2014-08-11,7665339484.799311,19280638534.489014,158825.91550194487,584.4278447858394,68872.42857142857
2014-08-18,6780284696.080176,19729645940.5771,166730.223298547,515.7969707678884,72295.85714285714
2014-08-25,6671628542.743276,23361107299.14994,185519.58622064858,506.3641019453953,67423.71428571429
2014-09-01,6585899477.290168,24378451443.99857,205339.576943271,498.78500108541385,67499.14285714286
2014-09-08,6322564876.007399,27428630902.2578,213677.52108313455,477.81119241045315,68807.28571428571
2014-09-15,6305713278.636141,28177198682.529427,224887.59670859927,475.54615383652,70618.42857142857
2014-09-22,5607341499.344513,29829733124.040413,257379.3647199673,421.9455912999917,72866.42857142857
2014-09-29,5376759707.188447,32695039319.351673,233837.81362294572,403.74882524839273,72447.57142857143
2014-10-06,4728605131.554609,34661425923.97693,264854.145626983,354.40296089538276,73637.28571428571
2014-10-13,4851916075.250088,34871787747.60423,254610.96795022656,362.9083106517493,75187.28571428571
2014-10-20,5207121947.771521,35002482026.13323,250308.95699427486,388.74246735451277,73695.42857142857
2014-10-27,4850098795.418585,35660091179.33349,268625.96958025015,361.38936265250055,78039.85714285714
2014-11-03,4503159753.807158,35985640265.0762,289794.65262023045,334.86102817900985,84947.85714285714
2014-11-10,4687905067.756459,39015643395.2623,291780.82975074527,347.8736153460799,84462.85714285714
2014-11-17,5335654896.8307295,39603666252.41833,283775.3297255921,395.20299098271687,84933.57142857143
2014-11-24,4938360239.199661,40213469301.812294,286385.249435028,365.0901525006261,83328.57142857143
2014-12-01,5082910472.792092,40300030327.8915,287620.285792878,375.08452984887714,86294.85714285714
2014-12-08,5083585362.751841,40047035536.07146,282702.0830797464,374.4471620606163,90058.57142857143
2014-12-15,4766720566.327844,40007470271.2714,284679.9569504373,350.45567120313945,85335.42857142857
2014-12-22,4406121716.51176,39547872699.69172,271593.020982366,323.3666409090757,92617.28571428571
2014-12-29,4394601005.179662,39457671307.13871,307667.6749484873,321.90962407113653,80275.42857142857
2015-01-05,4076052470.440415,40517719017.34463,324314.381246393,297.97274730733915,80281.14285714286
2015-01-12,3868240094.91827,40731426938.17291,297618.73475984955,282.2188388995574,97752.71428571429
2015-01-19,2839618917.6922407,43971662056.0896,311326.52104865044,206.79057493529257,100117.85714285714
2015-01-26,3309644753.455134,43971662056.08955,282286.033127362,240.59380136929127,93910.42857142857
2015-02-02,3244103022.278014,41500576059.800285,322628.8127268039,235.41129794606329,86907.14285714286
2015-02-09,3092432098.1850295,41456427785.02285,316256.251044487,223.96350864156315,89499.28571428571
2015-02-16,3214829749.973432,44455415962.3438,323275.4415887287,232.3831759205143,98391.42857142857
2015-02-23,3343703583.6349525,44786491436.00425,341718.7494466346,241.23667779911486,96898.85714285714
2015-03-02,3495898490.8541474,46684376316.8603,341473.3888897559,251.74127757368282,99164.28571428571
2015-03-09,3870819907.332894,46815045087.63623,338445.0366951724,278.2302588294232,98350.71428571429
2015-03-16,4047847816.676638,47427554950.6484,335457.99975613196,290.427949987476,96559.0
2015-03-23,3718788128.3874197,47321125583.86231,333344.382817874,266.3508147282291,99359.57142857143
2015-03-30,3467255594.231494,46717549644.706314,363944.16603336186,247.85746777156214,96520.57142857143
2015-04-06,3547414247.3922133,47444538185.26198,343652.37610822084,253.11241583869074,105791.71428571429
2015-04-13,3370386281.719123,49446390688.241295,346225.92936256254,240.06362732737742,107393.28571428571
2015-04-20,3146219455.660525,49093695019.19685,341459.5177961774,223.7038718794357,103530.85714285714
2015-04-27,3241390757.104097,47610564513.47138,339119.1715972986,230.06129306170172,106659.0
2015-05-04,3297239530.026084,47616618918.52551,330705.955234171,233.61060048426143,103500.28571428571
2015-05-11,3378721144.1298585,47643398017.80347,345781.45958436874,238.958004861237,105861.57142857143
2015-05-18,3356847108.2109265,47898194490.18612,360580.9886748752,236.97892057209657,100299.28571428571
2015-05-25,3362563587.3589554,48807487244.68138,335166.8071855504,236.9600516823913,100090.85714285714
2015-06-01,3316331473.1945443,48588830224.47243,339588.7838489053,233.30361229857243,115753.42857142857
2015-06-08,3206370623.9513617,47589591153.625,356543.4907485879,225.16450050096043,109493.71428571429
2015-06-15,3301080697.940647,48119349404.137695,358015.5625868855,231.381151905402,119424.85714285714
2015-06-22,3532384072.66575,49692386354.8938,349359.957857012,247.15980341487872,117204.71428571429
2015-06-29,3532693935.894883,49620602537.89828,356622.4311405631,246.74142836269513,113735.0
2015-07-06,3757178915.799812,49402014931.2275,375384.6580359703,261.9543997982801,138583.0
2015-07-13,4085716124.9810257,49924037608.0984,359073.54025472526,284.33338644902716,189379.7142857143
2015-07-20,4038713783.826361,51076366303.4821,375412.23408149986,280.5731898221593,120701.28571428571
2015-07-27,4115620091.6231546,51501170185.248146,379261.6712325971,285.3976616014027,112877.14285714286
2015-08-03,4136512840.105266,52278304845.5918,384617.7571888423,286.33949309802114,129169.42857142857
2015-08-10,3966929405.1491165,52434651519.637596,379518.84367555025,274.11872706019886,117073.85714285714
2015-08-17,3830408123.783859,52699842409.3469,373871.9503188598,264.2128895010437,109276.0
2015-08-24,3287838712.880536,53367037231.57961,401268.5208515753,226.3852572544943,113023.42857142857
2015-08-31,3316082487.4783807,54256630327.88988,406493.26679260645,227.91680913417372,116960.28571428571
2015-09-07,3400644151.244376,55666502427.21072,418488.22277115186,233.29779003039155,123917.71428571429
2015-09-14,3463545599.585419,56957648455.0098,425515.9750572774,237.19176637655514,143928.0
2015-09-21,3377433165.9581385,58380024224.50438,405023.05749235227,230.88529205978128,157866.2857142857
2015-09-28,3429923233.4453464,59335351233.86645,445807.3906131038,234.06703176922412,125866.14285714286
2015-10-05,3503198065.2910495,60281869962.65208,453587.3647269726,238.63670563321372,129376.57142857143
2015-10-12,3610599296.413673,60813224039.440384,427112.6149490187,245.53303323035803,128294.85714285714
2015-10-19,3831741212.589115,60858975231.192085,451637.3818765812,260.117049859731,139169.2857142857
2015-10-26,4109186101.0837755,60883825480.0984,446632.510894582,278.46634046121744,139045.57142857142
2015-11-02,4755923746.006735,61839176177.01534,466104.42076086445,321.7095940135259,160241.85714285713
2015-11-09,5718731967.877467,62253982449.7608,460220.48649611,386.1602503548469,168756.57142857142
2015-11-16,4886711675.91426,65114730132.77562,513492.96609702933,329.3803570176172,155020.7142857143
2015-11-23,4867594112.300601,65848255179.702515,520927.8078372522,327.4859522334474,151020.7142857143
2015-11-30,5254911622.360803,72659827112.66748,556232.439066109,352.872957962595,158520.85714285713
2015-12-07,5593037051.712386,73685739172.00798,577215.5358176281,374.8907366619354,179175.85714285713
2015-12-14,6436897051.82261,79102380900.22607,684202.9188238872,430.6105163646991,209007.0
2015-12-21,6802718574.200601,85590348013.00073,691786.6843864621,454.1957565600734,216560.7142857143
2015-12-28,6541164073.364088,93448670796.3241,752548.0967341542,435.9302786590967,191387.57142857142
2016-01-04,6485199511.347402,100280680034.20619,762444.722957232,431.3948366452366,158728.0
2016-01-11,6721505521.920978,103880340815.45598,821800.9432550978,446.3070325206647,180090.0
2016-01-18,6093256965.031067,111607652922.77515,822045.6922028642,403.87766924104545,194020.2857142857
2016-01-25,5982730006.171608,113354299801.471,893529.8307939973,395.84759925290143,206821.2857142857
2016-02-01,5750814201.323934,119556266304.82515,984151.9773428604,379.7856225308507,214725.14285714287
2016-02-08,5713225746.236155,126484172935.90987,1107789.150651727,376.53530806838114,216854.2857142857
2016-02-15,5880629359.936023,144116447847.349,1204586.7749449413,386.79208095265915,211420.85714285713
2016-02-22,6483304060.616669,153756329193.27344,1101075.8578178675,425.6750403189445,218978.0
2016-02-29,6545810107.279235,163491654908.95944,1118072.4743647357,429.10097123277944,224416.0
2016-03-07,6324388200.41063,161274498879.24115,1167229.60874476,413.9136628204057,222031.14285714287
2016-03-14,6334317231.051399,158427203767.392,1199319.9015711013,413.845217533606,181960.42857142858
2016-03-21,6335501099.328618,162058558526.3813,1162644.0817140043,413.2258039617601,197477.7142857143
2016-03-28,6426124973.201665,165496835118.22614,1238734.9257989384,418.4412772063121,181476.2857142857
2016-04-04,6419637014.88913,166230461014.99515,1213642.1722337157,417.31090878350176,197598.14285714287
2016-04-11,6490811580.855636,166851513282.777,1283236.4445158099,421.21505773566,212496.57142857142
2016-04-18,6615959192.511879,174753213018.22528,1295322.1663274057,428.58491598062983,213740.7142857143
2016-04-25,6987267262.076157,178678307671.688,1284104.659077347,451.87758638223255,207228.2857142857
2016-05-02,7020761486.393541,178665587580.29056,1308117.698850094,453.32345449611756,232409.85714285713
2016-05-09,7086274503.970952,178659257772.527,1426066.9514698386,456.74709989145856,221254.42857142858
2016-05-16,7086908017.454226,191574594717.65814,1367282.1744110142,456.00377928529673,227161.2857142857
2016-05-23,6931505144.172335,194254820283.4443,1473299.8198113055,445.2849829757036,214931.0
2016-05-30,7605977394.167341,198687898045.8483,1386785.0885912015,487.7758973115137,215577.14285714287
2016-06-06,8729557391.291668,199312067531.24228,1428146.7609962516,558.966513116807,217103.42857142858
2016-06-13,9606772934.885586,196561274888.75342,1473779.6148111713,614.0924612507306,229451.14285714287
2016-06-20,11517261969.121975,196061423939.64957,1505101.9734425487,734.9911168865325,246374.42857142858
2016-06-27,10107806830.113949,209067969679.1097,1487546.533187824,643.9705363697087,224015.85714285713
2016-07-04,10517443374.70986,209486755473.92828,1566510.4090146313,668.9620243633633,209082.57142857142
2016-07-11,10354641630.71382,213398925331.324,1538177.1269495343,657.5851583702096,202916.42857142858
2016-07-18,10531932197.442373,213399828572.4069,1518482.9814139672,668.2150251482005,206433.7142857143
2016-07-25,10440367968.17426,213492501107.513,1403917.8327436484,661.8959823995992,215608.42857142858
2016-08-01,10173027717.485281,213492501107.513,1464562.2315662657,644.4758531602239,221634.14285714287
2016-08-08,9116424293.470436,203119851937.48172,1592237.1492756442,577.0438805460466,224878.7142857143
2016-08-15,9211283371.344477,202196190733.767,1501888.8771024572,582.5705023294647,226269.14285714287
2016-08-22,9148497928.405453,217375482757.238,1608519.6001142843,578.123068414461,227871.42857142858
2016-08-29,9129094123.646519,217544017876.89557,1554195.2569934542,576.4247375636637,218805.0
2016-09-05,9318832762.471827,220755908330.372,1624127.687364614,587.9253157802456,218759.57142857142
2016-09-12,9796381906.82852,221325453792.84644,1660096.4018594741,617.5557175002087,215939.0
2016-09-19,9663894919.88259,225832872179.46,1691950.6686392515,608.6814715621609,220696.57142857142
2016-09-26,9564244040.344387,229363463245.87527,1789882.1043685228,601.9053188528013,224346.7142857143
2016-10-03,9686745965.818033,241227200229.99115,1797007.3077913944,609.0934164815899,233601.2857142857
2016-10-10,9791933400.652197,247572312578.04184,1900211.5507136085,615.1870676129248,250784.42857142858
2016-10-17,10181053604.554876,258522748404.51596,1733080.9055686886,639.1348347749854,230252.14285714287
2016-10-24,10205431793.340776,256956881590.43356,1850378.2720227041,640.1742965725973,230916.57142857142
2016-10-31,10989251357.306768,253618246641.4893,1900120.0216910243,688.7847092427152,245680.42857142858
2016-11-07,11394257129.132837,253959042785.22144,1792781.1754106872,713.6020258954662,253372.57142857142
2016-11-14,11359013341.551716,254620187304.062,2041431.6981702584,710.7951219086584,258534.85714285713
2016-11-21,11784239120.986158,268945166569.95645,1984563.26948161,736.7665278867831,271840.71428571426
2016-11-28,11796746655.899868,281800917193.195,2113267.135968787,736.9649567921853,288220.85714285716
2016-12-05,12095451607.371668,284578455446.2607,2126522.739101153,754.9985019078233,278204.14285714284
2016-12-12,12341897419.900286,286765766820.54987,2221775.302259137,769.734833209485,275281.71428571426
2016-12-19,12573689381.567846,303340003036.7661,2177699.61787987,783.5452263359773,271659.14285714284
2016-12-26,13978476878.984898,310153855703.43256,2317079.863851226,870.3835529013944,274584.28571428574
2017-01-02,15669062845.883457,315844143344.6093,2444491.3291709973,974.8375490189538,272187.28571428574
2017-01-09,15579963867.530851,317688400354.03357,2389160.8894504556,968.5020758036227,297737.28571428574
2017-01-16,13349848989.959967,334498491240.5853,2715508.757506967,829.1572316940803,277069.14285714284
2017-01-23,14620527003.337818,345507356954.7407,2844969.0415040357,907.2537300910077,273851.14285714284
2017-01-30,14698846521.662397,392963262344.369,3030608.6231551087,911.3250559405527,271829.5714285714
2017-02-06,16259806710.508852,401540010502.78406,3049314.4839247973,1007.2442044919429,291906.0
2017-02-13,16393536673.63328,422170566883.836,3162922.058358711,1014.7170241462794,295797.4285714286
2017-02-20,16930793447.640585,429107253874.0765,3176371.133729107,1047.105389083243,290384.14285714284
2017-02-27,18864537587.21224,440779902286.588,3374338.319658167,1165.7679733990128,300978.4285714286
2017-03-06,20352229174.39246,450122183428.724,3277151.714911247,1256.6604648325972,305793.4285714286
2017-03-13,19279965615.649944,460769358090.713,3429201.0772990296,1189.5098716122586,287115.0
2017-03-20,18019053636.7104,468542094779.66016,3537362.152915614,1110.8338414961993,290581.0
2017-03-27,16435938291.542805,475705205061.63055,3567384.3303243527,1012.3968239792933,268172.5714285714
2017-04-03,17511423703.584614,490505566190.6163,3685453.5715985186,1077.7621769307857,273202.28571428574
2017-04-10,19219995936.895195,499635929816.66644,3686525.8889375515,1181.9661727561158,270978.85714285716
2017-04-17,19375087577.12995,514449758606.9984,3683377.447640681,1190.563663480003,261576.0
2017-04-24,20115405705.65397,520808749422.141,3757682.2932846784,1235.0889756783843,278373.14285714284
2017-05-01,21997046946.29153,521627847386.24615,3919187.1687164227,1349.5483428279201,311252.5714285714
2017-05-08,25255989298.622833,521974519553.6265,4084876.929385929,1548.2211835935527,327549.85714285716
2017-05-15,28812040055.255978,554029375052.3944,4265049.246916981,1764.7418366034885,326156.71428571426
2017-05-22,31746166817.823505,559970892890.8385,4179422.225419399,1942.835642385404,309474.71428571426
2017-05-29,36973218789.223175,594393387145.1709,4735448.857249832,2260.861816673624,335857.0
2017-06-05,39999274336.4048,612754167481.5514,5113217.048371875,2443.696188031227,302677.71428571426
2017-06-12,46201022061.0552,678760110082.9894,5138325.294248946,2820.2161698421987,282053.71428571426
2017-06-19,41661395763.109314,688462759678.2004,5002397.0155190015,2541.117131301663,264644.4285714286
2017-06-26,42732579080.002884,711697198173.7551,4988391.0058375755,2604.46985673374,250017.42857142858
2017-07-03,41213224700.01417,710823982545.4183,5470872.098996149,2509.9226754821743,243498.85714285713
2017-07-10,41520782746.11227,708659466230.3292,5495513.890136259,2526.5514722927255,231754.0
2017-07-17,36111674747.45017,757823904504.2885,5809263.118836187,2195.5351886574285,236244.14285714287
2017-07-24,43245164232.158134,804525194568.1292,6513172.479175085,2627.003067220507,236590.57142857142
2017-07-31,44385837725.48467,841156942264.3043,6261254.046309923,2694.063608662436,225150.57142857142
2017-08-07,49296427357.10072,860221984436.22,6646415.866424798,2989.6652143650326,211587.42857142858
2017-08-14,61552386909.12687,909535006707.0178,6404811.898274547,3729.990304441847,265471.5714285714
2017-08-21,68842045831.64996,923233068448.906,6595647.107452421,4168.643147223847,279928.85714285716
2017-08-28,70744540808.52391,898437303108.3236,5354837.640294171,4280.977155610754,233424.7142857143
2017-09-04,76643500634.07182,888171856257.3236,7234499.718920605,4634.383122718543,259448.42857142858
2017-09-11,72956067915.98174,915168169584.6749,7734823.239774503,4407.44616339651,250061.42857142858
2017-09-18,62726188558.932014,942235294091.4092,8012624.069305696,3785.9498145194957,246671.57142857142
2017-09-25,62605545365.50347,1103400932964.29,8023823.782361942,3775.600866076649,230827.42857142858
2017-10-02,70039604374.05392,1106391584435.0972,8241950.7639113525,4220.595080571095,250911.57142857142
2017-10-09,73610966815.58092,1123863285132.97,8795148.102534698,4432.2452109042315,263099.71428571426
2017-10-16,89746990692.01439,1142990558693.2358,8937758.043814268,5399.363388118895,298508.0
2017-10-23,96961024724.32185,1196792694098.79,10011803.07028413,5828.362702805379,321687.85714285716
2017-10-30,97480632892.59068,1349404885265.77,9633301.05998182,5854.632819403856,289990.28571428574
2017-11-06,117050764629.71133,1452839779145.92,9976823.180577893,7024.89106767137,295282.14285714284
2017-11-13,111959393532.38927,1410209817600.1914,8790373.652423369,6714.712166485765,276931.4285714286
2017-11-20,127519459731.84538,1364422081125.15,10367656.401320854,7642.404928529681,296771.14285714284
2017-11-27,144229072047.25174,1356521824444.4272,10654000.098308086,8636.640700676297,341494.5714285714
2017-12-04,177285163862.42767,1347001430558.5613,11450126.536080271,10606.975177757366,377164.85714285716
2017-12-11,254422361039.38727,1530849707705.9243,12821328.695210172,15208.312343115986,388968.71428571426
2017-12-18,301696328374.49835,1610168625588.4028,14115720.721048042,18018.14069203473,406201.5714285714
2017-12-25,256301672181.15128,1873105475221.6199,13155477.122514872,15294.950367871757,324896.14285714284
2018-01-01,240323239006.52222,1880439060513.4885,14396207.547917185,14330.313497244728,298832.5714285714
2018-01-08,264008636134.27313,1931136454487.7144,15565278.744736714,15729.262277072728,368528.5714285714
2018-01-15,234051625620.07562,2046350289124.7642,16707675.684196943,13932.5514017283,302052.5714285714
2018-01-22,192645657643.73874,2227847638503.63,18921900.07675483,11457.870487100257,267833.85714285716
2018-01-29,188262005187.64893,2477209122554.7056,19783129.03743527,11187.255831677385,230160.85714285713
2018-02-05,149329621164.14413,2603077300218.5815,20944261.594842643,8866.822106454036,217575.14285714287
2018-02-12,139124590018.4598,2837700534130.25,20857282.09164537,8253.85216201887,188406.57142857142
2018-02-19,171017823402.3471,2874674234415.94,22537502.534906086,10137.76623624448,184440.42857142858
2018-02-26,172066285300.71414,3002408935948.973,22688805.13364526,10192.030990356505,179263.57142857142
2018-03-05,186651630444.30014,3041055528144.3433,24019560.477947097,11046.821096267842,196513.14285714287
2018-03-12,160972515794.6625,3290605988755.0,25120739.89526093,9519.531560115214,186519.7142857143
2018-03-19,141756964333.08078,3328994816545.9443,24993153.72166074,8376.551150789013,184438.57142857142
2018-03-26,146325765670.81107,3462542391191.56,24490774.315239217,8640.048069675211,176393.7142857143
2018-04-02,122202767368.3522,3474222689380.566,25836814.87235313,7210.241959213496,170043.14285714287
2018-04-09,116901838140.59106,3511060552899.7314,27227579.616213955,6891.945354763297,172654.57142857142
2018-04-16,130911703210.77657,3647292070897.3525,28050755.350981615,7711.510088669951,189724.42857142858
2018-04-23,145039784654.50714,3839316899029.6787,30236643.910427697,8536.90368819404,202566.2857142857
2018-04-30,157203853669.6122,3933445728137.586,28112279.443543028,9245.904248643234,213704.2857142857
2018-05-07,161535683498.46994,4022059196164.953,29562209.250922915,9493.451841863573,205006.85714285713
2018-05-14,150372373101.03287,4091533182941.943,29770553.62712577,8830.769077147868,199840.85714285713
2018-05-21,141782663339.32352,4143878474754.1943,31193273.609999485,8319.911029974117,193938.7142857143
2018-05-28,127435005060.11049,4248628441590.5156,33626579.01554167,7472.102069174252,189059.14285714287
2018-06-04,128390919246.13109,4306949573981.5,35081752.7743719,7521.877109167572,195209.0
2018-06-11,126169787173.89197,4868275707060.079,35157895.260269955,7385.833724638891,199173.42857142858
2018-06-18,111151836768.29912,4940704885521.83,37928239.6504737,6501.78269863071,191229.0
2018-06-25,109572816825.71115,5070564769243.391,40295128.525351085,6404.2733062536545,188242.42857142858
